Observer ,Date,Location ,Species,Body_Size_cm ,Group_Size,Habitat,Pass,Time_Start,Time_End,Depth (ft)
MB,5-12-2025,Hinalea,S. psittacus,7.5,4,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,T. duperrey,17.5,2,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,10,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velifer,12.5,9,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,T. duperrey,17.5,1,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,20,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,32,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,17.5,2,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,36,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,7,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,5,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,2.5,24,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,C. auriga,7.5,5,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,9,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,12.5,5,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,28,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,Z. velifer,2.5,12,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,S. psittacus,7.5,31,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,7.5,20,Reef_Flat ,3,11:29,12:01,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,2,Reef_Flat ,3,11:29,12:01,3
